id,date,value
NSA_Food_At_Home,2023-08-01,303.716
NSA_Food_At_Home,2023-07-01,303.455
NSA_Food_At_Home,2023-06-01,302.335
NSA_Food_At_Home,2023-05-01,302.535
NSA_Food_At_Home,2023-04-01,302.328
NSA_Food_At_Home,2023-03-01,301.918
NSA_Food_At_Home,2023-02-01,302.483
NSA_Food_At_Home,2023-01-01,301.435
SA_Food_At_Home,2024-07-01,305.849
SA_Food_At_Home,2024-06-01,305.465
SA_Food_At_Home,2024-05-01,305.062
SA_Food_At_Home,2024-04-01,305.071
SA_Food_At_Home,2024-03-01,305.687
SA_Food_At_Home,2024-02-01,305.7
SA_Food_At_Home,2024-01-01,305.788
SA_Food_At_Home,2023-12-01,304.667
SA_Food_At_Home,2023-11-01,304.245
SA_Food_At_Home,2023-10-01,304.176
SA_Food_At_Home,2023-09-01,303.416
SA_Food_At_Home,2023-08-01,303.209
SA_Food_At_Home,2023-07-01,302.645
SA_Food_At_Home,2023-06-01,302.03
SA_Food_At_Home,2023-05-01,301.912
SA_Food_At_Home,2023-04-01,301.669
SA_Food_At_Home,2023-03-01,302.16
SA_Food_At_Home,2023-02-01,302.669
SA_Food_At_Home,2023-01-01,302.149
NSA_Food_Away_From_Home,2024-07-01,369.383
NSA_Food_Away_From_Home,2024-06-01,368.616
NSA_Food_Away_From_Home,2024-05-01,367.099
NSA_Food_Away_From_Home,2024-04-01,365.813
NSA_Food_Away_From_Home,2024-03-01,364.546
NSA_Food_Away_From_Home,2024-02-01,363.596
NSA_Food_Away_From_Home,2024-01-01,363.249
NSA_Food_Away_From_Home,2023-12-01,361.564
NSA_Food_Away_From_Home,2023-11-01,360.383
NSA_Food_Away_From_Home,2023-10-01,358.824
NSA_Food_Away_From_Home,2023-09-01,357.488
NSA_Food_Away_From_Home,2023-08-01,356.083
NSA_Food_Away_From_Home,2023-07-01,354.862
NSA_Food_Away_From_Home,2023-06-01,354.245
NSA_Food_Away_From_Home,2023-05-01,352.892
NSA_Food_Away_From_Home,2023-04-01,351.237
NSA_Food_Away_From_Home,2023-03-01,349.944
NSA_Food_Away_From_Home,2023-02-01,347.869
NSA_Food_Away_From_Home,2023-01-01,345.677
SA_Food_Away_From_Home,2024-07-01,369.383
SA_Food_Away_From_Home,2024-06-01,368.616
SA_Food_Away_From_Home,2024-05-01,367.099
SA_Food_Away_From_Home,2024-04-01,365.813
SA_Food_Away_From_Home,2024-03-01,364.546
SA_Food_Away_From_Home,2024-02-01,363.596
SA_Food_Away_From_Home,2024-01-01,363.249
SA_Food_Away_From_Home,2023-12-01,361.564
SA_Food_Away_From_Home,2023-11-01,360.383
SA_Food_Away_From_Home,2023-10-01,358.824
SA_Food_Away_From_Home,2023-09-01,357.488
SA_Food_Away_From_Home,2023-08-01,356.083
SA_Food_Away_From_Home,2023-07-01,354.862
SA_Food_Away_From_Home,2023-06-01,354.245
SA_Food_Away_From_Home,2023-05-01,352.892
SA_Food_Away_From_Home,2023-04-01,351.237
SA_Food_Away_From_Home,2023-03-01,349.944
SA_Food_Away_From_Home,2023-02-01,347.869
SA_Food_Away_From_Home,2023-01-01,345.677
NSA_Energy,2024-07-01,287.868
NSA_Energy,2024-06-01,286.675
NSA_Energy,2024-05-01,290.139
NSA_Energy,2024-04-01,290.76
NSA_Energy,2024-03-01,285.002
NSA_Energy,2024-02-01,276.331
NSA_Energy,2024-01-01,270.42
NSA_Energy,2023-12-01,269.375
NSA_Energy,2023-11-01,277.029
NSA_Energy,2023-10-01,286.754
NSA_Energy,2023-09-01,296.004
NSA_Energy,2023-08-01,294.328
NSA_Energy,2023-07-01,284.828
NSA_Energy,2023-06-01,283.854
NSA_Energy,2023-05-01,279.816
NSA_Energy,2023-04-01,283.352
NSA_Energy,2023-03-01,279.084
NSA_Energy,2023-02-01,281.673
NSA_Energy,2023-01-01,283.33
SA_Energy,2024-07-01,279.012
SA_Energy,2024-06-01,278.938
SA_Energy,2024-05-01,284.742
SA_Energy,2024-04-01,290.631
SA_Energy,2024-03-01,287.399
SA_Energy,2024-02-01,284.175
SA_Energy,2024-01-01,277.897
SA_Energy,2023-12-01,280.443
SA_Energy,2023-11-01,281.042
SA_Energy,2023-10-01,285.488
SA_Energy,2023-09-01,291.71
SA_Energy,2023-08-01,288.392
SA_Energy,2023-07-01,276.352
SA_Energy,2023-06-01,276.411
SA_Energy,2023-05-01,275.071
SA_Energy,2023-04-01,283.473
SA_Energy,2023-03-01,281.399
SA_Energy,2023-02-01,289.216
SA_Energy,2023-01-01,290.504
NSA_Commodities_Less_Food_Energy_Commodities,2024-07-01,164.836
NSA_Commodities_Less_Food_Energy_Commodities,2024-06-01,165.493
NSA_Commodities_Less_Food_Energy_Commodities,2024-05-01,165.555
NSA_Commodities_Less_Food_Energy_Commodities,2024-04-01,165.7
NSA_Commodities_Less_Food_Energy_Commodities,2024-03-01,165.875
NSA_Commodities_Less_Food_Energy_Commodities,2024-02-01,165.752
NSA_Commodities_Less_Food_Energy_Commodities,2024-01-01,164.866
NSA_Commodities_Less_Food_Energy_Commodities,2023-12-01,164.59
NSA_Commodities_Less_Food_Energy_Commodities,2023-11-01,165.367
NSA_Commodities_Less_Food_Energy_Commodities,2023-10-01,166.759
NSA_Commodities_Less_Food_Energy_Commodities,2023-09-01,167.141
NSA_Commodities_Less_Food_Energy_Commodities,2023-08-01,168.029
NSA_Commodities_Less_Food_Energy_Commodities,2023-07-01,168.014
NSA_Commodities_Less_Food_Energy_Commodities,2023-06-01,168.588
NSA_Commodities_Less_Food_Energy_Commodities,2023-05-01,168.499
NSA_Commodities_Less_Food_Energy_Commodities,2023-04-01,167.833
NSA_Commodities_Less_Food_Energy_Commodities,2023-03-01,166.961
NSA_Commodities_Less_Food_Energy_Commodities,2023-02-01,166.246
NSA_Commodities_Less_Food_Energy_Commodities,2023-01-01,165.34
SA_Commodities_Less_Food_Energy_Commodities,2024-07-01,163.512
SA_Commodities_Less_Food_Energy_Commodities,2024-06-01,163.662
SA_Commodities_Less_Food_Energy_Commodities,2024-05-01,163.599
SA_Commodities_Less_Food_Energy_Commodities,2024-04-01,163.792
SA_Commodities_Less_Food_Energy_Commodities,2024-03-01,163.725
SA_Commodities_Less_Food_Energy_Commodities,2024-02-01,163.789
SA_Commodities_Less_Food_Energy_Commodities,2024-01-01,163.683
