Category,Sub Category 1,Sub Category 2,Weight,Jun-24,May-24,Apr-24,Mar-24,Feb-24,Jan-24,Dec-23,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23
Headline,,,100%,-0.0011604247472499774,-0.0003373915811251127,-0.0016588711397814704,-0.0038781940883054755,-0.006422652818154906,-0.006151595419011113,-0.005417989280746549,0.0009943079942362765,0.002019208535389838,0.0003835265592142534,-0.002478970983368356,-0.004348165953372174,-0.0019038833331697091,-0.0032185219052862646,-0.0025121084283868944,-0.005033573639501188,-0.003299805192223726,-0.005551123520808221
,Food,,10%,-0.0024759418946443956,-0.00183099797031272,-0.0013413158982682472,-0.0018889505591723754,-0.0009247567521067923,-0.0012546511270334904,-0.005693049491658941,-0.000712222039865873,0.0017322429602453226,-0.0031336810389095415,-0.002082240751717035,-0.0017351933279017295,-0.002803563640894624,-0.0009652630263652373,-0.0022700907723623986,-0.0023410689941549823,-0.000904698779284896,-0.004228894827857377
,,At home,5%,-0.0029056590236854474,-0.00023875559276809177,9.159935749591952e-05,-0.0009191807842149347,0.0001407869664009631,-0.0014142187914322202,-0.006661486967154739,0.0007227603504893487,0.005157903068358838,-0.002831476304841374,-0.0006876696553426154,-0.0008593554504867651,-0.0036908273055312746,0.0006615178527131782,-0.0006842183549012892,-0.0013561429970098127,0.0018713690472247357,-0.003464657517943115
,,Away Home,5%,-0.0020764355695849224,-0.004115393797339273,-0.003503142204146603,-0.003463518245661046,-0.002605981138182778,-0.0009543559335085661,-0.00463869136597761,-0.003266365014216177,-0.004325953221988699,-0.003723273805542604,-0.003930201852929249,-0.0034289758286691896,-0.0017387040596062997,-0.003819390534799405,-0.004689820114935905,-0.0036812750365138314,-0.005929520151795709,-0.006301222586663435
,Energy,,8%,-0.004144260563869517,0.012083369669486421,0.0021403534168105143,-0.019803274178016195,-0.03042434789931292,-0.021391012951858412,-0.003864359145033691,0.028413921113689122,0.03510462803533221,0.03225761454068654,-0.005662085647491377,-0.032276915549998675,-0.003419607622845988,-0.014225623031558499,0.012636875661148794,-0.015062537056382053,0.00927677688437889,0.005882707962779454
Core,,,~80%,-0.0006609985777566996,-0.0011724027673719606,-0.0020431285287905165,-0.0027989357754309996,-0.005263523059844677,-0.005694013360006855,-0.005471537482901523,-0.0009650312432871733,-0.0007252748663376662,-0.0018080801592909035,-0.00229717164762544,-0.0022605392401879865,-0.0015901642523318271,-0.002635071703732561,-0.003885152679684256,-0.004636704583592666,-0.0047957941049378006,-0.006739887701431968
,,Shelter,20%,-0.003264889364828494,-0.002398596820859744,-0.004345386877182111,-0.0034336253801513505,-0.005724757303608996,-0.005102740247673321,-0.006284830669361363,-0.0039570349713557995,-0.003756200179431346,-0.00259293283475881,-0.005739000033728292,-0.0025964130358200332,-0.004269725241087707,-0.0047767437216561515,-0.005649777177012205,-0.004420713898830808,-0.006563174218806256,-0.007852138197632308
